code,name,orgId,title,url,size_kb
002828,贝肯能源,9900028824,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263923.PDF,1182
688599,天合光能,GD155612,天合光能股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263857.PDF,2166
688561,奇安信,9900041361,奇安信2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263748.PDF,1803
600322,津投城开,gssh0600322,津投城开2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263729.PDF,1422
603280,南方路机,nssc1000815,南方路机2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263699.PDF,4170
603387,基蛋生物,9900031490,基蛋生物：2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263696.PDF,1584
688219,会通股份,9900041353,会通新材料股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263675.PDF,1876
603989,艾华集团,9900023223,湖南艾华集团股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263610.PDF,2575
002269,美邦服饰,9900005143,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263525.PDF,1283
688776,国光电气,GD005988,国光电气2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263368.PDF,2722
002486,嘉麟杰,9900014995,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263288.PDF,1410
603759,海天股份,9900041834,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263258.PDF,1606
600884,杉杉股份,gssh0600884,杉杉股份2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263241.PDF,3179
601696,中银证券,qsgn0000638,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263166.PDF,1588
600436,片仔癀,gssh0600436,漳州片仔癀药业股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263103.PDF,1513
601162,天风证券,qsgn0000533,天风证券股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263059.PDF,1595
688710,益诺思,9900057434,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225263032.PDF,1723
