code,name,industry,sector,carbon_kw,soft_kw,action_kw,pages,carbon_num
688272,富吉瑞,军工电子Ⅱ,TMT & Electronics,2,7,3,275,
688289,圣湘生物,医疗器械,Healthcare & Pharma,0,7,0,269,
688323,瑞华泰,塑料,Chemicals,1,16,6,213,
688333,铂力特,通用设备,Industrials,0,7,2,268,
688339,亿华通,电池,Energy & Utilities,12,16,5,241,
688348,昱能科技,光伏设备,Energy & Utilities,4,10,4,252,"5,400吨"
688409,富创精密,半导体,TMT & Electronics,1,9,0,289,
688410,山外山,医疗器械,Healthcare & Pharma,0,16,2,267,
688439,振华风光,军工电子Ⅱ,TMT & Electronics,1,19,2,238,
688443,智翔金泰,生物制品,Healthcare & Pharma,1,9,4,235,
688458,美芯晟,半导体,TMT & Electronics,0,11,3,254,
688478,晶升股份,半导体,TMT & Electronics,0,9,4,267,
688484,南芯科技,半导体,TMT & Electronics,2,14,2,327,
688559,海目星,自动化设备,Industrials,3,16,4,293,
688561,奇安信,软件开发,TMT & Electronics,0,23,0,283,
688567,孚能科技,电池,Energy & Utilities,0,19,1,240,
688573,信宇人,电池,Energy & Utilities,0,11,12,255,
688576,西山科技,医疗器械,Healthcare & Pharma,0,7,0,191,
688599,天合光能,光伏设备,Energy & Utilities,12,29,4,335,
688618,三旺通信,通信设备,TMT & Electronics,11,36,7,290,
688625,呈和科技,化学制品,Chemicals,13,38,29,238,
688710,益诺思,医疗服务,Healthcare & Pharma,2,20,2,282,
688711,宏微科技,半导体,TMT & Electronics,4,22,20,317,
688776,国光电气,军工电子Ⅱ,TMT & Electronics,6,11,3,266,
688793,倍轻松,小家电,Consumer,0,13,0,262,
