code,name,orgId,status,pages,chars,carbon_kw,action_kw,soft_kw,carbon_num,env_head,biz,sec
600745,闻泰科技,gssh0600745,ok,355,264312,5,8,14,,环境信息,能源电力|TMT/电子|消费,25.2
600779,水井坊,gssh0600779,ok,192,144691,0,3,16,,环境信息,TMT/电子|消费,12.6
600783,鲁信创投,gssh0600783,ok,217,186243,0,4,8,,环境信息,医药|TMT/电子,17.0
600807,济高发展,gssh0600807,ok,204,184631,0,0,8,,环境信息,医药|钢铁建材|TMT/电子|消费|地产建筑,15.9
600844,金煤科技,gssh0600844,ok,198,160830,6,4,8,,环境信息,化工|TMT/电子,15.0
600847,万里股份,gssh0600847,ok,168,115594,0,2,6,,环境信息,TMT/电子|消费,10.6
600850,电科数字,gssh0600850,ok,217,202359,0,1,8,,环境信息,医药|TMT/电子|地产建筑,17.5
600884,杉杉股份,gssh0600884,ok,189,193629,1,0,10,,环境信息,化工|TMT/电子|消费,18.1
600887,伊利股份,gssh0600887,ok,259,238276,2,1,33,,环境信息,消费,19.4
600892,*ST大晟,gssh0600892,ok,203,158780,0,0,5,,环境信息,TMT/电子|消费,13.8
600897,厦门空港,gssh0600897,ok,185,151811,0,0,7,,环境信息,TMT/电子|消费,13.8
600900,长江电力,gssh0600900,ok,259,244712,5,15,19,,环境信息,能源电力|TMT/电子|消费|地产建筑,21.3
600905,三峡能源,9900016549,ok,306,324388,44,23,28,,环境信息,能源电力|钢铁建材|TMT/电子|地产建筑,29.0
600933,爱柯迪,gfbj0834393,ok,260,231188,0,22,13,,环境信息,TMT/电子,21.0
600965,福成股份,gssh0600965,ok,228,193011,0,2,9,,环境信息,钢铁建材|TMT/电子|消费|地产建筑,15.7
600996,贵广网络,9900030438,ok,216,205886,0,5,10,,环境信息,TMT/电子|地产建筑,15.6
601003,柳钢股份,9900002182,ok,187,178423,4,10,5,,环境信息,钢铁建材|TMT/电子|地产建筑,15.9
601006,大秦铁路,9900000261,ok,221,194278,1,1,8,,环境信息,能源电力|TMT/电子|地产建筑,15.2
601106,中国一重,9900010530,ok,247,199753,0,1,5,,环境信息,钢铁建材|化工|TMT/电子|地产建筑,18.2
601162,天风证券,qsgn0000533,ok,230,222533,2,4,15,,环境信息,消费,18.4
601187,厦门银行,9900012128,ok,273,255258,2,5,18,,环境信息,金融|化工|TMT/电子|消费|地产建筑,24.1
601222,林洋能源,9900021223,ok,229,233873,14,10,15,,环境信息,能源电力|TMT/电子|地产建筑,20.6
601666,平煤股份,9900001301,ok,297,233285,2,29,8,,环境信息,钢铁建材|化工|TMT/电子|消费|地产建筑,21.6
601696,中银证券,qsgn0000638,ok,228,232240,0,0,8,,环境信息,TMT/电子,19.7
603021,ST华鹏,9900023482,ok,192,158730,4,9,4,,环境信息,TMT/电子|消费,13.9
603023,威帝股份,9900023114,ok,198,148173,1,2,5,,环境信息,医药|TMT/电子,13.2
603027,千禾味业,9900024904,ok,190,154680,0,1,6,,环境信息,消费,13.8
603030,全筑股份,9900023461,ok,219,175892,0,16,5,,环境信息,TMT/电子|消费|地产建筑,16.5
603051,鹿山新材,9900022812,ok,227,195254,3,10,18,,环境信息,医药|能源电力|化工|TMT/电子|消费,17.6
603052,可川科技,9900039839,ok,171,160250,0,0,4,,环境信息,TMT/电子,12.4
603128,华贸物流,9900022718,ok,251,218314,0,3,11,,环境信息,TMT/电子,20.2
603189,网达软件,9900026063,ok,189,154775,0,0,6,,环境信息,TMT/电子,13.6
603195,公牛集团,9900037723,ok,204,179783,1,2,10,,环境信息,TMT/电子|消费,15.6
603212,赛伍技术,9900036558,ok,261,197987,1,5,8,,环境信息,能源电力|化工|TMT/电子|消费|地产建筑,17.1
603215,比依股份,nssc1000801,ok,231,208766,1,7,14,,环境信息,TMT/电子|消费,17.5
603280,南方路机,nssc1000815,ok,269,189430,19,23,12,,环境信息,钢铁建材|TMT/电子|地产建筑,21.7
603290,斯达半导,9900023794,ok,213,173394,4,6,7,,环境信息,TMT/电子,15.1
603323,苏农银行,9900022945,ok,177,161025,0,1,18,,,金融|TMT/电子|消费,20.6
603358,华达科技,9900029980,ok,204,168104,0,1,6,,环境信息,钢铁建材,14.9
603368,柳药集团,9900022939,ok,269,218675,0,2,10,,环境信息,医药|化工|TMT/电子|消费,19.7
603378,亚士创能,9900030399,ok,220,179872,2,62,8,,环境信息,钢铁建材|化工|TMT/电子|消费|地产建筑,15.2
603387,基蛋生物,9900031490,ok,235,196499,0,0,9,,环境信息,医药|TMT/电子,16.9
603389,*ST亚振,9900026793,ok,231,184236,0,2,7,,环境信息,化工|TMT/电子|消费,13.9
603398,*ST沐邦,9900024444,ok,248,206722,2,1,5,,环境信息,医药|能源电力|TMT/电子|消费,17.8
603528,多伦科技,9900026209,ok,190,163396,1,0,5,,环境信息,TMT/电子|消费,14.8
603535,嘉诚国际,9900023643,ok,280,187041,0,0,6,,环境信息,TMT/电子|消费,17.3
603567,珍宝岛,9900023465,ok,259,223594,0,3,11,,环境信息,医药|化工|TMT/电子|消费,16.8
603580,*ST艾艾,gfbj0430599,ok,176,147092,0,4,5,,环境信息,化工|TMT/电子|消费,13.2
603609,禾丰股份,9900022976,ok,265,256246,0,7,14,,环境信息,消费,20.3
603628,清源股份,9900023615,ok,236,233931,14,10,9,,环境信息,能源电力|TMT/电子|消费|地产建筑,20.2
603636,南威软件,9900023642,ok,262,241896,0,0,7,,环境信息,医药|TMT/电子|消费|地产建筑,20.6
603661,恒林股份,9900022987,ok,246,193316,3,3,25,,环境信息,TMT/电子|消费,17.4
603668,天马科技,9900029592,ok,303,301589,3,14,18,,环境信息,TMT/电子|消费,26.0
603690,至纯科技,9900023872,ok,331,227254,0,0,6,,环境信息,化工|TMT/电子|消费|地产建筑,19.7
603707,健友股份,9900022971,ok,233,195759,0,2,6,,环境信息,医药|TMT/电子|消费,17.0
603711,香飘飘,9900031497,ok,196,171503,0,0,9,,环境信息,TMT/电子|消费,15.3
603717,天域生物,9900030817,ok,240,207913,1,0,8,,环境信息,能源电力|消费|地产建筑,17.9
603718,海利生物,9900023467,ok,249,224820,0,9,13,,环境信息,医药|TMT/电子,19.3
603759,海天股份,9900041834,ok,300,219853,4,9,9,,环境信息,化工|TMT/电子|地产建筑,19.2
603800,洪田股份,9900024532,ok,228,183098,0,1,10,,环境信息,钢铁建材|TMT/电子,16.1
